cik,symbol
108516,WOR
108772,XRX
108985,YORW
109198,TJX
109380,ZION
109563,AIT
110471,WWW
110621,RPM
200406,JNJ
203527,VAR
203596,WSBC
215466,CDE
216085,HVT
216228,ITT
216593,APRE
217346,TXT
225648,CVA
230557,SIGI
275053,NATR
276720,PCYO
277135,GWW
277509,FSS
277948,CSX
278166,CVCO
310142,SXT
310158,MRK
310354,SXI
310764,SYK
311094,WABC
313143,HAE
313616,DHR
313927,CHD
314489,BUSE
315131,PHX
315189,DE
315213,RHI
315293,AON
315374,HURC
315709,IBOC
315852,RRC
315858,BBX
316253,ENZ
316709,SCHW
317540,COKE
317788,APPS
318154,AMGN
318300,PEBO
318306,ABEO
318833,TISI
319201,KLAC
320187,NKE
320193,AAPL
320340,INS
350698,AN
350797,EV
350852,CTBI
350868,ITI
350894,SEIC
351569,ABCB
351817,SBOW
352541,LNT
352825,FSTR
352915,UHS
353020,AEGN
353569,QDEL
354190,AJG
354647,CVBF
354707,HE
354908,FLIR
354950,HD
354963,SHEN
355811,GNTX
356171,TCBK
356309,NJR
357173,OSBC
357301,TRST
700564,FULT
700565,FMBH
700923,MYRG
701221,CI
701288,ATRI
701347,CPF
701374,SIX
701869,IHC
701985,LB
702165,NSC
702325,FMBI
702513,BOCH
703351,EAT
703604,LAWS
704051,LM
704159,VBIV
704415,TVTY
705432,SBSI
706129,HBNC
706688,AAN
706698,UTMD
706863,UNB
707179,ONB
707549,LRCX
708781,CASS
708821,PAR
708955,FFBC
709337,FMNB
711377,NEOG
711404,COO
711669,CBAN
711772,CATC
712034,ACCO
712515,EA
712534,FRME
712537,FCF
712770,OLP
712771,CNOB
713425,AMSWA
713676,PNC
714310,VLY
714395,GABC
714562,THFF
715072,RNST
715579,ACNB
715787,TILE
715957,D
716006,YRCW
716133,CBB
716314,GHM
716605,PWOD
716634,RDI
716643,RGS
717423,MUR
717538,AROW
717605,HXL
717720,VALU
717954,UNF
718877,ATVI
718937,STAA
719220,STBA
719413,HL
719739,SIVB
719955,WSM
720005,RJF
720672,SF
720858,ITIC
721371,CAH
721994,LKFN
722723,HNGR
722830,IMMU
723125,MU
723188,CBU
723254,CTAS
723531,PAYX
723603,CULP
723612,CAR
723646,FRAF
724004,MLAB
724910,NVEC
725363,CVM
726601,CCBG
726728,O
726854,CHCO
726958,CASY
727207,AXDX
727273,CDZI
728535,JBHT
729986,UBSI
730255,CAMP
730263,THO
730272,RGEN
730464,ATGE
730708,SBCF
731012,HCSG
731766,UNH
731802,ATO
732712,VZ
732717,T
732834,CLR
733590,TCI
736772,CCNE
737207,MRNA
737468,WASH
737758,TTC
740260,VTR
740663,FLIC
741516,AMNB
742112,IVC
742126,ECOL
742278,RES
743238,SPAR
743316,MXIM
743367,BHB
743988,XLNX
744187,REX
745308,JOE
745732,ROST
746515,EXPD
746598,BRC
746838,UIS
749251,IT
750004,SGMS
750686,CAC
751364,NNN
751978,VICR
752642,UMH
752714,MGRC
753308,NEE
755001,UTL
759944,CFG
760498,BANF
761648,CDR
763563,CHMG
763744,LCII
763901,BPOP
764038,SSB
764065,CLF
764180,MO
764401,IIIN
764478,BBY
764622,PNW
765207,FNLC
766421,ALK
766701,CMO
766829,SJW
768835,BIG
768899,TBI
769397,ADSK
769520,MIDD
771497,ABM
772406,CRUS
773141,MDC
773840,HON
775158,OSK
775368,Y
776867,WTM
776901,INDB
779152,JKHY
780571,ITRI
783280,DRE
783325,WEC
783412,DJCO
784199,CRY
784977,POR
785786,PLXS
785956,JJSF
788329,JOUT
788784,PEG
788965,HNRG
789019,MSFT
789460,INT
789570,MGM
789933,NC
790051,CSL
790359,NBTB
790526,RDNT
790703,TECD
790816,BDN
791915,CY
791963,OPY
792966,FMAO
792977,AMAG
792987,ASTE
793074,WERN
793733,SKYW
793952,HOG
794170,TOL
794172,VIVO
794367,M
794619,AMWD
795266,KBH
795403,WTS
796343,ADBE
796505,CLFD
796534,NKSH
797468,OXY
797721,VSAT
798287,PTSI
798354,FISV
798359,IRET
798783,UHT
798941,FCNCA
798949,UNT
799167,MRTN
799233,HTLD
799288,LE
799292,MHO
799850,CRMT
800240,ODP
800457,DGICA
801337,WBS
802481,PPC
802681,BMTC
803649,EQC
804328,QCOM
804753,CERN
805676,PRK
805928,AXGN
806279,CVLY
807863,MITK
807882,JACK
808450,NAV
809248,TAST
810136,PLAB
810958,CZNC
811156,CMS
811589,FBNC
811596,KALU
811808,SMMF
811831,NBN
812011,MTN
812074,OI
812128,SAFM
812348,CNBKA
813672,CDNS
814184,TCF
814453,NWL
814547,FICO
814549,EBIX
814585,MBI
815094,ABMD
815556,FAST
816761,TDC
816956,CNMD
817720,SYNA
818033,HRTX
818479,XRAY
819793,AIN
819913,HALL
820027,AMP
820313,APH
820318,IIVI
821002,GIII
821026,ANDE
821127,BPFH
821130,USM
821189,EOG
821483,PARR
822416,PHM
822663,IPAR
822818,CLH
823768,WM
824142,AAON
824410,SASR
825542,SMG
826154,ORRF
826675,DX
827052,EIX
827054,MCHP
827187,SNBR
827871,EGRX
828916,WRI
828944,WSFS
829224,SBUX
830122,PICO
830524,CCF
831001,C
831259,FCX
831547,SPPI
831641,TTEK
832101,IEX
832428,SSP
832988,SIG
833079,MTH
833444,JCI
833640,POWI
834285,FRBK
834365,BLFS
835011,MGPI
835324,SYBT
835887,PGNX
836157,LNN
837465,ELY
840489,FCFS
842023,TECH
842162,LEA
842183,RPT
842518,EVBN
842633,TRS
844059,FRPH
844965,TTI
846475,ZYXI
846617,BDGE
846901,LBAI
849146,LFVN
849869,SLGN
850141,HMN
850209,FL
850261,SRNE
850429,TG
850460,WIRE
851205,CGNX
851310,HLIT
851520,EXPO
851968,MHK
852772,DENN
853816,LSTR
854560,GSBC
854775,DGII
855612,ZIXI
855654,IMGN
855658,LSCC
855874,TCFC
856982,MMSI
857005,PTC
857855,UCBI
858339,CZR
858470,COG
858655,HAYN
858877,CSCO
859070,FCBC
859163,AVX
859598,CKH
859737,HOLX
860413,FIBK
860546,OFC
860730,HCA
860731,TYL
861459,GVA
861842,CATY
861878,SRCL
861884,RS
862831,FISI
863110,ARTNA
863436,BHE
864749,TRMB
865752,MNST
866273,MTRX
866368,PSB
866706,ESE
866729,SCHL
866787,AZO
866829,HLX
867665,AXAS
867773,SPWR
868671,GBCI
868780,DORM
868857,ACM
870385,CARO
871763,MAN
872589,REGN
873303,SRPT
873860,OCN
874015,IONS
874238,STRL
874396,LCUT
874499,GPOR
874501,AMBC
874716,IDXX
874761,AES
874766,HIG
874866,CRVL
874977,STFC
875045,BIIB
875320,VRTX
875357,BOKF
875622,BSTC
876167,PRGS
876378,TRXC
876427,MNRO
876437,MTG
876523,EZPW
876883,MDCA
877212,ZBRA
877422,SPTN
877860,NHI
877890,CTXS
878927,ODFL
879101,KIM
879169,INCY
879407,ARWR
879526,WNC
879585,ATNI
879635,MPB
880117,JBSS
880266,AGCO
880432,MSON
880631,WETF
880807,AMSC
882095,GILD
882104,PDLI
882184,DHI
882796,BCRX
882835,ROP
883237,VRTS
883241,SNPS
883569,FOSL
883984,ICUI
884217,TLRD
884219,VVI
884614,UGI
884624,OFIX
884887,RCL
885245,BKE
885508,STRS
885550,CACC
885639,KSS
885725,BSX
885978,USPH
886136,SGA
886158,BBBY
886163,LGND
886206,FC
886346,KAI
886744,GERN
886982,GS
887343,COLB
887359,VCEL
887596,CAKE
887730,KEM
887733,CENT
887905,LTC
887919,PFBI
887921,REV
887936,FCN
888491,OHI
889331,LFUS
889900,PTEN
890319,TCO
890541,BLX
890564,ASGN
890926,RDN
891014,MTX
891024,PDCO
891103,IAC
891166,UVE
892222,BREW
892537,MANT
892553,GTLS
893538,SM
893691,DOOR
893847,HWBK
893949,MD
894081,ATSG
894405,ARCB
894671,OVBC
895051,CASI
895126,CHK
895417,ELS
895419,CREE
895421,MS
895447,SCVL
895456,RCKY
896156,ETH
896159,CB
896262,AMED
896264,USNA
896622,ATR
896841,AVID
896878,INTU
897077,ALG
897429,CHS
897723,SANM
898173,ORLY
898174,RGA
898293,JBL
898437,ANIK
899051,ALL
899460,MNKD
899629,AKR
899689,VNO
899715,SKT
899749,HR
899751,TWI
899866,ALXN
899923,MYGN
900075,CPRT
901491,PZZA
902791,BBSI
903129,THRM
903419,ALRS
904163,ANAT
906107,EQR
906163,NVR
906345,CPT
906465,QCRH
906553,BYD
906709,NKTR
907242,MCRI
907254,BFS
907471,CASH
908255,BWA
908311,CMCT
908315,WINA
908937,SIRI
909108,DHIL
909494,TCX
909832,COST
910073,NYCB
910108,LXP
910329,MED
910406,HAIN
910521,DECK
910606,REG
910612,CBL
910638,DDD
911109,MINI
911147,CNTY
911177,CWST
911216,PTN
911971,TK
912093,VIAV
912242,MAC
912463,GES
912562,ROCK
912593,SUI
912595,MAA
912603,SCHN
912615,URBN
912728,FWRD
912752,SBGI
912766,LAUR
912767,UFPI
913142,BDC
913144,RNR
913241,SHOO
913277,CLAR
913341,CFFI
913760,INTL
914025,PLT
914156,UFPT
914208,IVZ
914475,NBIX
915389,EMN
915778,DSPG
915779,DAKT
915840,BZH
915912,AVB
915913,ALB
916076,MLM
916365,TSCO
916540,DAR
916789,HELE
916907,SMBC
917251,ADC
917273,RMBS
917470,ZEUS
917491,FARO
917520,IART
918251,MPAA
918541,NNBR
918646,EXP
918965,SCSC
919012,AEO
920112,HTLF
920148,LH
920371,SSD
920427,UNTY
920465,LJPC
920522,ESS
920760,LEN
921082,HIW
921299,FGEN
921557,RBCAA
921582,IMAX
921738,PENN
921825,FR
922224,PPL
922621,ERIE
922864,AIV
923120,GBX
923139,FFIC
923796,GEO
924717,SRDX
924822,MLR
924901,CLI
925645,CETV
926282,ADTN
926326,OMCL
927003,AEIS
927066,DVA
927355,TESS
927628,COF
927653,MCK
928022,CPE
928054,FTK
928340,CWCO
928658,CVTI
929008,WCC
929940,AZPN
930236,RWT
930420,KFRC
931015,PII
932696,NSIT
933036,RCII
933141,IBKC
933974,BRKS
934549,ACTG
935036,ACIW
935419,RICK
935494,NATI
935703,DLTR
936340,DTE
936395,CIEN
936468,LMT
936528,WAFD
937098,TNET
937556,MASI
939767,EXEL
940942,HUBG
940944,DRI
943452,WAB
943819,RMD
943861,GDP
944148,CBZ
944314,LSI
944695,THG
944745,CIVB
944809,OPK
945114,SYX
945764,DNR
945841,POOL
946581,TTWO
946647,FDEF
946673,BANR
947484,ACGL
947559,FBMS
949039,DO
949157,CENX
949870,SAM
1000177,NAT
1000209,MFIN
1000228,HSIC
1000623,SWM
1000694,NVAX
1000697,WAT
1000753,NSP
1001039,DIS
1001082,DISH
1001115,GEOS
1001233,SGMO
1001250,EL
1001316,TGTX
1001385,NWPX
1001838,SCCO
1002047,NTAP
1002517,NUAN
1002910,AEE
1003078,MSM
1003201,MMAC
1004434,AMG
1004702,OCFC
1004980,PCG
1005229,CMCO
1005284,OLED
1005286,LNDC
1005409,DCOM
1005731,IDT
1005757,CSGS
1005817,TMP
1006269,LORL
1006655,EPM
1007330,PRGX
1007587,KVHI
1008654,TUP
1008848,ACOR
1010086,SIGA
1010470,PROV
1010612,SYKE
1011570,KNL
1012019,RUSHA
1012100,SEE
1012771,FFG
1013237,FDS
1013272,NWFL
1013462,ANSS
1013488,BJRI
1013857,PEGA
1013871,NRG
1013880,TTEC
1013934,STRA
1014473,VRSN
1015328,WTFC
1015780,ETFC
1015820,QGEN
1016169,ATRS
1016281,CSV
1017480,HIBB
1018164,WLFC
1018399,EBTC
1018724,AMZN
1018840,ANF
1018963,ATI
1018979,AMSF
1019849,PAG
1020214,CERS
1020569,IRM
1020710,DXPE
1020859,UNFI
1021162,TGI
1021561,NUS
1021635,OGE
1021860,NOV
1022079,DGX
1022408,PLUS
1022652,INSG
1022671,STLD
1023024,ANIP
1023128,LAD
1023313,FORR
1023459,SLP
1023731,EGHT
1024305,COTY
1024478,ROK
1024725,TEN
1025378,WPC
1025835,EFSC
1025996,KRC
1027838,TCMD
1028918,PPBI
1028954,SBBX
1029142,DVAX
1029199,EEFT
1029800,UBA
1030469,OFG
1031029,SRT
1031203,GPI
1031296,FE
1031316,FSP
1032033,SLM
1032208,SRE
1032220,MMS
1033012,FBC
1033905,LMNX
1034054,SBAC
1034842,RIGL
1035002,VLO
1035092,SHBI
1035201,CWT
1035267,ISRG
1035443,ARE
1035976,FNCB
1035983,FIX
1037038,RL
1037390,GRIF
1037540,BXP
1037646,MTD
1037676,ARCH
1037868,AME
1037976,JLL
1038074,SLAB
1038133,HSKA
1038357,PXD
1038773,SMBK
1039065,OSIS
1039399,FORM
1039684,OKE
1039828,AEL
1040130,PETS
1040829,RHP
1040971,SLG
1041024,RMTI
1041061,YUM
1041368,RVSB
1041803,PSMT
1041859,PLCE
1042046,AFG
1042074,CBAY
1042729,MBWM
1042776,PDM
1042893,DRQ
1043219,NLY
1043277,CHRW
1043337,SRI
1043509,SAH
1043604,JNPR
1045309,GRA
1045450,EPR
1045609,PLD
1045810,NVDA
1046025,HFWA
1046050,TSBK
1046257,INGR
1046311,CHH
1047122,RTN
1047127,AMKR
1047335,NHC
1047340,FDP
1047862,ED
1047884,ANH
1048268,IESC
1048286,MAR
1048477,BMRN
1048695,FFIV
1048911,FDX
1049502,MKSI
1049521,MRCY
1049606,CIX
1049782,BRKL
1050377,CNXN
1050441,EGBN
1050446,MSTR
1050743,PGC
1050797,COLM
1050825,SCS
1050915,PWR
1051470,CCI
1051512,TDS
1051627,AXTI
1052100,WDR
1052595,RLH
1052752,GTY
1053352,HTBK
1053507,AMT
1053584,MCBC
1053706,CRAI
1054905,IOSP
1055160,MFA
1055726,INO
1056696,MANH
1056903,AWR
1056943,PFIS
1057060,HZO
1057352,CSGP
1057379,HCKT
1057706,FBP
1057877,IDA
1058057,MRVL
1058090,CMG
1058290,CTSH
1058623,CMLS
1058811,IMMR
1058867,GNTY
1059262,SP
1059556,MCO
1060349,GBL
1060391,RSG
1060736,SGEN
1060822,CRI
1061630,BXMT
1061983,CYTK
1062231,AXL
1062579,DOX
1062822,LXRX
1063344,HT
1063761,SPG
1064728,BTU
1065088,EBAY
1065280,NFLX
1065332,EGOV
1065696,LKQ
1065837,SKX
1066194,EGAN
1066605,HSII
1067294,CBRL
1067701,URI
1067837,ETM
1068851,PB
1068875,BCOR
1069157,EWBC
1069183,AAXN
1069202,LII
1069258,KTOS
1069308,ACER
1069533,RGCO
1069878,TREX
1069899,PAHC
1069996,FNHC
1070081,PTCT
1070154,STL
1070296,FCAP
1070412,CNX
1070494,ACAD
1070524,GCBC
1070750,HST
1070985,CXW
1071255,GDEN
1071739,CNC
1073349,EPAY
1073429,USCR
1074902,LCNB
1076930,NOVT
1077183,NEO
1077428,TCBI
1077688,HOFT
1077771,UMPQ
1078075,NTCT
1078099,MEET
1078271,EXTR
1080014,INVA
1080709,ARNA
1082324,VHC
1082554,UTHR
1082923,STMP
1083446,AMEH
1084048,JCOM
1084384,TEUM
1084765,RECN
1084869,FLWS
1084961,ECPG
1084991,NGS
1085869,PRFT
1086222,AKAM
1088856,CORT
1089063,DKS
1089143,CLCT
1089872,GAIA
1090009,SFST
1090012,DVN
1090061,OMN
1090425,LAMR
1090727,UPS
1090872,A
1091667,CHTR
1091883,CIR
1091907,WWE
1092699,SPSC
1092796,AOBC
1093557,DXCM
1093672,PEBK
1093691,PLUG
1094285,TDY
1094742,MNSB
1094810,MFSF
1094831,BGCP
1095073,RE
1095565,HSTM
1095651,STAR
1096056,LXFR
1096343,MKL
1096752,EPC
1097149,ALGN
1097864,ON
1098151,FDBC
1098972,AGEN
1099219,MET
1099800,EW
1100441,RTIX
1100682,CRL
1101215,ADS
1101239,EQIX
1101302,ENTG
1101396,DLA
1101680,DZSI
1102112,PACW
1102238,ARL
1102266,CSFL
1102934,CCMP
1102993,LPSN
1103021,BDSI
1103982,MDLZ
1104485,NOG
1104506,INSM
1104657,MTRN
1107421,ZIOP
1107843,QLYS
1108109,CYH
1108134,BHLB
1108426,PNM
1108524,CRM
1108827,QEP
1109116,EVC
1109242,HAFC
1109354,BRKR
1109357,EXC
1109546,PMBC
1110803,ILMN
1111335,VC
1111711,NI
1111928,IPGP
1113169,TROW
1113232,ACLS
1113256,MTOR
1114483,ITGR
1114995,PI
1115055,PNFP
1115128,QUOT
1116132,TPR
1116463,OSUR
1116942,TTMI
1117297,QNST
1117480,CMRX
1118417,MODN
1120193,NDAQ
1120914,PDFS
1121484,OIS
1121788,GRMN
1122904,NTGR
1122976,POL
1123360,GPN
1124140,EXAS
1124198,FLR
1124524,CYRX
1124610,VMW
1124804,MDRX
1124941,BECN
1125345,MGNX
1125376,ENSG
1126328,PFG
1126741,GSIT
1126956,SR
1127371,CVCY
1127703,PRA
1128361,HOPE
1128928,FLO
1129155,MPX
1129260,VCRA
1130144,BSRR
1130310,CNP
1130464,BKH
1130713,OSTK
1131554,SNCR
1132105,SPWH
1132651,ATLO
1133311,TZOO
1133416,GALT
1133421,NOC
1133470,CVGW
1135185,AAWW
1136174,CATS
1136869,ZBH
1136893,FIS
1137547,UBFO
1137774,PRU
1138639,INFN
1138723,ARAY
1140536,WLTW
1140859,ABC
1141103,CCRN
1141391,MA
1141807,FCCY
1142417,NXST
1142596,NUVA
1142750,AMN
1144215,AYI
1144519,BG
1144980,ABG
1145057,FSCT
1145197,PODD
1156039,ANTM
1156375,CME
1157408,LRN
1157601,MDGL
1157647,WNEB
1158114,AAOI
1158172,SCOR
1158324,CCOI
1158449,AAP
1158463,JBLU
1158895,LMAT
1159036,HALO
1159167,IRBT
1160308,SVRA
1160791,GORO
1160958,IPHI
1161728,MGEE
1162112,RNET
1162194,FLDM
1162461,CUTR
1163165,COP
1163302,X
1163370,NRIM
1163739,NBR
1164727,NEM
1164863,NPO
1165002,WHG
1166003,XPO
1166126,JCP
1166388,VRNT
1166691,CMCSA
1166928,WTBA
1168054,XEC
1169445,CPSI
1169561,CVLT
1169652,ECOM
1169770,BANC
1170010,KMX
1171155,RLGT
1171662,GTS
1171759,RRGB
1171825,CIT
1172052,SAFT
1172222,HA
1173431,AMTD
1173489,CEVA
1173514,HY
1174850,NCBS
1174922,WYNN
1175151,CTSO
1175454,FLT
1175483,DS
1175505,FPRX
1175535,WSR
1176948,ARES
1177394,SNX
1177609,FIVE
1177648,ENTA
1177702,SAIA
1178670,ALNY
1178711,PRTK
1178879,FOLD
1178970,PFS
1179929,MOH
1180145,CSII
1180262,HLF
1183765,MTEM
1185348,PRAA
1192448,GKOS
1195734,PBPB
1196501,HMSY
1200375,CDXS
1201792,APEI
1206264,TPX
1207074,VRTU
1207179,GLNG
1209028,AI
1212458,PFPT
1212545,WAL
1214816,AXS
1217234,CDNA
1219601,CCK
1220754,PRSC
1222840,RPAI
1223389,CONN
1224133,MCHX
1224608,CNO
1226616,MNOV
1227025,NPTN
1227500,EQBK
1227654,CMP
1228454,BCBP
1232524,JAZZ
1232582,AHT
1234006,GOOD
1235010,MNTA
1235468,LQDT
1237746,EIGI
1237831,GMED
1252849,CXP
1253689,GLYC
1255474,WLL
1257640,KRO
1258602,NNI
1260221,TDG
1260968,MRLN
1262039,FTNT
1262104,MEIP
1262823,WLK
1262976,CMPR
1263762,SLCT
1264587,STML
1265131,HTH
1267238,AIZ
1267565,COLL
1267813,MRNS
1269021,PTLA
1270073,ICPT
1271214,XENT
1272830,VG
1272842,AIRG
1273685,NYMT
1273813,AGO
1274173,JHG
1274494,FSLR
1275014,UCTT
1275158,NDLS
1275187,ANGO
1276520,GNW
1277902,MVBF
1278021,MKTX
1278027,BGS
1280058,BLKB
1280263,AMBA
1280452,MPWR
1280600,XLRN
1281761,RF
1282637,NEU
1282977,GHL
1283630,ACC
1283699,TMUS
1284812,CNS
1285785,MOS
1285819,OMER
1286043,KRG
1286225,RP
1286681,DPZ
1287213,PLOW
1287865,MPW
1288403,WTI
1288469,MXL
1288847,FIVN
1289308,ENS
1289419,MORN
1289460,TXRH
1289490,EXR
1289790,MIC
1289848,HURN
1289877,SFL
1289945,SPOK
1290677,TPB
1290900,CVGI
1293282,TTGT
1293971,BLUE
1294133,INGN
1295401,TBBK
1295664,KRNY
1295810,SHO
1295947,PBH
1296205,ZAGG
1296435,NP
1296445,ORA
1297184,AMPH
1297989,EXLS
1297996,DLR
1298675,CUBE
1298946,DRH
1299130,PACB
1300514,LVS
1300699,ATNX
1301787,BXC
1302215,HLI
1302324,PBIP
1303313,LHCG
1303942,BFIN
1304421,CNSL
1305253,EIGR
1305773,CFMS
1306830,CE
1307954,HUN
1308161,FOXA
1308208,ULH
1308547,DLB
1308606,SRC
1309108,WEX
1309402,GPRE
1311370,LAZ
1313275,BCOV
1314052,AVXL
1315255,GTT
1315257,KOP
1315399,PKBK
1316835,BLDR
1317945,OFLX
1318008,ZUMZ
1318084,CORE
1318484,CTRN
1318568,EVRI
1318605,TSLA
1320414,SEM
1320461,CPS
1320695,THS
1321646,KRA
1321732,PEN
1322439,EGLE
1322505,ALBO
1323648,ESXB
1323885,ATRC
1324272,RUTH
1324404,CF
1324424,EXPE
1324948,ROLL
1325618,IRMD
1325670,SONA
1326160,DUK
1326200,GNK
1326380,GME
1326732,XNCR
1326801,FB
1327567,PANW
1327688,OOMA
1327811,WDAY
1328143,ADMS
1328581,BCC
1330421,BV
1331284,DHT
1331520,HOMB
1331875,FNF
1332349,BKD
1333493,EHTH
1334036,CROX
1334325,CODA
1334933,UEC
1334978,CCO
1335258,LYV
1336920,LDOS
1337298,FF
1337553,AERI
1337619,ENV
1338749,PCH
1339469,CHMA
1339605,HEES
1340652,CCXI
1341141,CTT
1341235,ALDX
1341439,ORCL
1341766,CELH
1342287,GFN
1342423,LMNR
1345016,YELP
1345105,CPA
1346830,CARA
1347178,VNDA
1347652,CORR
1347858,XXII
1348911,KALV
1349436,SD
1350381,INWK
1350593,MWA
1350653,ATEC
1351051,GEN
1351285,RST
1351413,SDRL
1351636,SSTI
1352010,EPAM
1353283,SPLK
1354327,PGTI
1356576,SUPN
1357204,DNKN
1357615,KBR
1358071,CXO
1358762,RETA
1359841,HBI
1360604,HTA
1360901,EVR
1361113,VRNS
1361538,PRIM
1361983,ORBC
1362004,ICFI
1362468,ALGT
1362988,AYR
